Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
23 9000 1.489941625025 0.257976538196432 0.616671436970736 0.148230379193803 0.467063270664029 PN2 T1 Tbv PN2 0.25 0
24 9000 2.17958361302419 0.428311916340131 0.890154714515915 0.331615217372629 0.529501764795513 PN2 T1 Tbv PN2 0.25 0
25 9000 2.80942404926011 0.645741935462605 1.40676083382868 0.355156999117426 0.401764280851401 PN2 T1 Tbv PN2 0.25 0
26 9000 3.43683941725457 0.860806501999737 1.72725348576315 0.400995314153863 0.447784115337822 PN2 T1 Tbv PN2 0.25 0
27 9000 4.03067876801999 1.1994358795358 1.97126227206291 0.466749128656784 0.393231487764493 PN2 T1 Tbv PN2 0.25 0
28 9000 4.58277773914121 1.46067338367599 2.44445453132002 0.365809958098964 0.311839866046234 PN2 T1 Tbv PN2 0.25 0
29 9000 5.24396132401074 1.71563363885382 2.86488191941187 0.404357932965263 0.259087832779785 PN2 T1 Tbv PN2 0.25 0
30 9000 5.95117303019533 1.92708524297821 3.33461896221378 0.449128876644452 0.240339948358891 PN2 T1 Tbv PN2 0.25 0
31 9000 6.45114541138422 2.14308087661701 3.64400945404652 0.461347179678125 0.202707901042561 PN2 T1 Tbv PN2 0.25 0
32 9000 6.89766823887368 2.2861909697393 3.96016937968511 0.402993163074987 0.248314726374286 PN2 T1 Tbv PN2 0.25 0
33 9000 7.44920234484833 2.52989882290846 4.33417328021089 0.405832876696343 0.179297365032635 PN2 T1 Tbv PN2 0.25 0
34 9000 7.85742689897342 2.6983283408258 4.55417986683433 0.393880382153017 0.21103830916027 PN2 T1 Tbv PN2 0.25 0
35 9000 8.21834132996679 2.88334690412208 4.72535817095415 0.394144368890188 0.215491886000374 PN2 T1 Tbv PN2 0.25 0
36 9000 8.63449697944529 3.13248268488452 4.9752485432374 0.336216440547559 0.190549310775808 PN2 T1 Tbv PN2 0.25 0
37 9000 9.12646490812697 3.27314841789973 5.32351951712432 0.381665771349714 0.148131201753204 PN2 T1 Tbv PN2 0.25 0
38 9000 9.35945920076154 3.39529910192517 5.45858837645363 0.368553918327308 0.137017804055429 PN2 T1 Tbv PN2 0.25 0
39 9000 9.68268476110512 3.52536287463011 5.65734680114828 0.37775505827586 0.122220027050867 PN2 T1 Tbv PN2 0.25 0
40 9000 9.96428118299042 3.63188406139025 5.83120000224522 0.386617856678812 0.11457926267614 PN2 T1 Tbv PN2 0.25 0
41 9000 10.2594086559735 3.79874290366977 6.0290773452482 0.29588219195766 0.135706215097875 PN2 T1 Tbv PN2 0.25 0
20 1500 -0.0287689263586574 0.0690889155204115 -0.0978578418790688 0 0 PN2 T2 Ebv GN2 0.25 0
21 6000 -2.28479886367598 0.08642423684432 -2.3712231005203 0 0 PN2 T2 Ebv GN2 0.25 0
22 6000 -1.71043184965639 0.689057504560197 -2.39948935421658 0 0 PN2 T2 Ebv GN2 0.25 0
23 6000 -1.04375833564522 1.23450447600679 -2.27826281165201 0 0 PN2 T2 Ebv GN2 0.25 0
24 6000 -0.5359331507091 2.02264134475344 -2.55857449546254 0 0 PN2 T2 Ebv GN2 0.25 0
25 6000 -0.369537986617773 2.54118646951336 -2.91072445613113 0 0 PN2 T2 Ebv GN2 0.25 0
26 6000 0.106858382235126 3.3371194620081 -3.23026107977298 0 0 PN2 T2 Ebv GN2 0.25 0
27 6000 0.511517170670512 4.03448181088888 -3.52296464021837 0 0 PN2 T2 Ebv GN2 0.25 0
28 6000 0.876768451657219 4.64835846155087 -3.77159000989365 0 0 PN2 T2 Ebv GN2 0.25 0
29 6000 1.25993319406941 5.42256711333171 -4.16263391926229 0 0 PN2 T2 Ebv GN2 0.25 0
30 6000 1.69931254770338 6.06484375936151 -4.36553121165813 0 0 PN2 T2 Ebv GN2 0.25 0
31 6000 1.9757121517743 6.56530793112752 -4.58959577935322 0 0 PN2 T2 Ebv GN2 0.25 0
32 6000 2.55751104200007 7.05685244434095 -4.49934140234088 0 0 PN2 T2 Ebv GN2 0.25 0
33 6000 2.98357960979341 7.4208312569983 -4.43725164720489 0 0 PN2 T2 Ebv GN2 0.25 0
34 6000 3.5590661318374 8.00666803946001 -4.44760190762261 0 0 PN2 T2 Ebv GN2 0.25 0
35 6000 3.70802968324051 8.58584379761616 -4.87781411437566 0 0 PN2 T2 Ebv GN2 0.25 0
36 6000 4.13659157579163 9.28563857822002 -5.14904700242838 0 0 PN2 T2 Ebv GN2 0.25 0
37 6000 4.52495177893403 9.79970544533549 -5.27475366640146 0 0 PN2 T2 Ebv GN2 0.25 0
38 6000 5.07118153570294 10.1211319680489 -5.04995043234597 0 0 PN2 T2 Ebv GN2 0.25 0
